1971
3,5,17,21,22,40+26,30
6,14,19,21,22,32+15,24
6,8,17,34,37,40+5,12
5,6,12,16,27,29+9,15
2,4,8,12,22,37+10,29
2,17,33,35,37,38+1,18
11,18,21,25,37,39+6,12
3,7,16,17,20,31+14,27
7,25,27,28,30,40+9,33
24,33,34,36,38,39+29,35
8,9,10,12,26,35+14,36
3,11,15,19,26,37+2,8
17,26,27,33,37,39+20,23
17,18,22,26,32,38+24,35
3,5,13,15,18,22+1,26
9,11,17,18,20,29+25,39
15,18,19,23,31,39+4,29
5,6,11,24,33,40+26,37
2,5,18,23,30,32+22,33
1,3,5,21,32,39+4,14
6,22,23,30,35,36+12,13
3,7,16,26,30,31+32,36
3,8,16,28,29,35+25,34
1,15,25,29,36,39+17,28
4,15,33,35,37,40+14,24
4,9,12,14,16,29+3,17
3,15,25,34,37,40+22,29
8,9,21,27,33,37+15,34
2,3,21,23,30,34+20,37
9,17,26,27,34,37+3,22
5,6,11,25,27,35+18,29
10,15,17,20,26,35+2,36
4,18,30,32,35,36+20,40
3,7,16,22,25,38+10,11
2,3,9,18,22,25+7,32
6,10,20,21,27,34+25,31
3,14,18,21,32,38+5,24
15,21,22,23,34,39+17,25
16,17,22,28,29,39+14,33
4,5,10,16,24,27+2,20
2,16,21,27,29,34+14,15
4,9,11,25,26,37+10,14
1975
5,7,,8,9,16,33+12,17
10,14,16,19,21,27+6,12
6,7,14,19,22,40+1,13
4,16,21,25,26,37+17,34
1,22,24,25,26,34+3,20
10,13,18,29,39,40+5,9
1,18,19,22,29,32+31,38
22,23,24,25,28,39+16,30
10,12,14,21,34,38+16,36
8,10,24,29,38,40+5,20
15,22,23,30,31,36+12,21
9,10,17,20,23,28+18,34
12,24,28,32,34,37+1,20
7,8,13,16,17,32+5,24
6,7,16,21,23,29+3,27
3,8,16,26,30,33+13,25
1,2,12,17,22,23+13,18
12,16,22,23,28,33+11,34
5,12,18,26,33,38+2,23
1,6,8,13,17,39+21,23
9,11,24,27,35,39+20,36
14,18,19,21,32,39+2,6
6,13,15,17,27,36+7,24
12,21,22,30,33,37+3,27
2,23,29,38,39,40+21,22
1,15,19,22,34,40+3,17
11,16,22,24,33,39+1,4
2,9,15,16,21,30+6,32
4,7,16,23,38,39+6,18
2,7,23,25,26,27+9,39
15,17,19,23,24,35+10,29
6,10,14,22,23,27+13,18
5,7,13,29,37,39+27,30
3,18,23,24,29,38+9,10
10,12,16,17,28,35+3,21
4,5,10,11,15,31+20,28
13,19,20,21,32,34+23,27
3,7,13,20,21,38+15,35
3,14,21,29,31,32+8,30
5,10,11,14,19,28+12,36
15,20,21,25,26,27+3,31
4,5,10,19,23,24+1,13
13,17,22,23,29,33+4,6
3,16,20,22,25,38+11,12
3,16,17,24,27,37+14,29
15,16,22,32,36,38+3,40
6,16,20,25,34,40+31,32
1,9,28,36,38,39+23,30
1,12,21,25,32,39+10,13
3,7,9,23,28,37+27,32
3,5,8,14,20,39+10,25
11,17,21,23,27,35+26,37
1,22,24,28,30,38+5,9
1976
11,15,16,27,31,38+25,37
2,15,17,21,36,39+26,28
1,5,10,13,27,29+20,34
3,4,9,16,34,38+17,25
6,18,27,28,30,37+8,34
6,17,20,24,33,34+16,39
4,22,27,28,31,36+1,34
5,7,16,21,33,35+10,22
3,4,23,26,27,34+6,14
6,7,21,30,34,36+9,18
8,11,20,21,22,29+6,37
16,19,23,24,28,31+12,32
3,5,16,17,22,30+6,31
1,11,17,19,29,34+35,39
13,15,18,20,30,34+1,11
3,5,14,27,30,36+8,29
5,11,19,21,22,24+14,37
4,10,34,36,39,40+27,37
7,9,25,35,36,39+4,16
3,14,15,22,25,40+3,38
3,7,9,16,19,21+4,32
3,10,17,20,26,33+6,39
2,8,9,19,21,38+4,34
5,6,19,22,25,35+3,21
6,9,24,26,29,31+12,19
14,17,28,32,34,38+11,24
5,12,15,17,26,40+21,33
3,22,25,26,29,33+8,11
14,15,17,35,37,38+20,31
4,13,14,20,24,40+3,5
2,8,30,37,39,40+13,14
13,20,27,32,34,38+10,18
3,4,6,12,23,35+8,14
9,10,14,20,23,29+13,33
2,4,14,29,36,40+6,11
2,11,17,20,26,38+15,28
3,5,8,14,26,32+11,37
16,18,20,29,30,34+10,33
1,4,20,21,26,31+8,25
5,7,12,17,20,35+14,30
1,2,25,59,32,37+23,35
7,13,25,29,34,37+9,40
2,5,9,23,35,36+24,39
5,7,10,11,30,36+15,16
9,11,13,24,25,35+8,26
4,16,17,20,24,32+18,35
9,11,15,26,27,36+12,24
2,6,7,12,25,29+4,10
1977
1,18,24,28,36,37+4,16
3,4,17,30,32,40+8,39
4,16,17,21,25,31+12,38
2,8,15,21,22,24+11,39
10,16,18,20,29,38+5,19
1,9,11,23,26,29+3,12
